,car_brand,carprice,kms_driven,fuel_type,city,year_of_manufacture
0,Hyundai,445000.0,22402.0,Petrol,Mumbai,2016
1,Maruti,293000.0,10344.0,Petrol,Kolkata,2019
2,Tata,2249000.0,12999.0,Diesel,Bangalore,2021
3,Maruti,695000.0,45000.0,Petrol,Thane,2016
4,Jeep,1200000.0,11193.0,Petrol,Kolkata,2019
5,Maruti,372000.0,42906.0,Petrol,Chennai,2017
6,Hyundai,1150000.0,66602.0,Diesel,Mumbai,2017
7,Maruti,1039000.0,13189.0,Petrol,Bangalore,2019
8,Toyota,375000.0,67815.0,Petrol,Mumbai,2013
9,Renault,425000.0,19509.0,Petrol,Mumbai,2018
10,Maruti,675000.0,60000.0,Diesel,Ahmedabad,2017
11,Maruti,449000.0,3583.0,Petrol,Bangalore,2019
12,Chevrolet,300000.0,148000.0,Diesel,Pallikarnai,2007
13,Maruti,950000.0,48748.0,Diesel,Hyderabad,2019
14,Jeep,1325000.0,38000.0,Diesel,Thane,2018
15,Toyota,925000.0,36000.0,Petrol,Kolkata,2016
16,Hyundai,675000.0,13747.0,Petrol,Ahmedabad,2017
17,Mercedes-Benz,9500000.0,3200.0,eco_fuel,Pune,2022
18,Ford,871000.0000000001,12795.0,Petrol,Chennai,2018
19,Hyundai,335000.0,41273.0,Petrol,Mumbai,2014
20,Hyundai,988000.0000000001,20142.0,Petrol,Pune,2016
21,Porsche,11500000.0,6500.0,Petrol,Pune,2020
22,Kia,1100000.0,47103.0,Diesel,Thane,2019
23,Maruti,990000.0,7755.0,Petrol,Mumbai,2020
24,Renault,345000.0,33513.0,Petrol,Gurgaon,2019
25,BMW,3749000.0,24848.0,Diesel,Kolkata,2019
26,Maruti,639000.0,34559.0,Petrol,Delhi,2017
27,Hyundai,890000.0,4000.0,Petrol,Ahmedabad,2022
28,Ford,659000.0,54544.0,Petrol,Kolkata,2018
29,Maruti,392000.0,42247.0,Petrol,Kolkata,2018
30,Honda,800000.0,100000.0,Diesel,Hyderabad,2018
31,Maruti,775000.0,69000.0,Diesel,Hyderabad,2019
32,Tata,1152000.0,10422.0,Petrol,Delhi,2021
33,Audi,1675000.0,52000.0,Diesel,Mumbai,2014
34,Maruti,850000.0,56255.0,Petrol,Ahmedabad,2019
35,Hyundai,593000.0,78260.0,eco_fuel,Delhi,2021
36,Maruti,415000.00000000006,19970.0,eco_fuel,Bangalore,2021
37,MG,1850000.0,9070.0,Petrol,Ahmedabad,2020
38,Ford,240000.0,73000.0,Petrol,Thane,2013
39,Audi,1199000.0,46336.0,Diesel,Kolkata,2015
40,Hyundai,894999.9999999999,57220.0,Petrol,Thane,2016
41,Honda,968000.0,7096.0,Petrol,Pune,2021
42,Mercedes-Benz,8100000.0,21500.0,eco_fuel,Bangalore,2020
43,Hyundai,493000.0,44045.0,Petrol,Pune,2015
44,BMW,1050000.0,70000.0,Diesel,Kolkata,2013
45,Maruti,785000.0,32853.0,Diesel,Thane,2018
46,BMW,3899000.0,26781.0,Diesel,Kolkata,2017
47,Skoda,3100000.0,45700.0,Petrol,Ahmedabad,2021
